2024-07-03 23:40:13.423 INFO  11248 --- [main] ElementInteractionUtils : Starting Test Suite: Login Tests
2024-07-03 23:40:13.725 INFO  11248 --- [main] ElementInteractionUtils : ExtentReport initialized with SparkReporter
2024-07-03 23:40:13.771 INFO  11248 --- [main] ElementInteractionUtils : Starting Test: verifyLoginisworking
2024-07-03 23:40:13.812 INFO  11248 --- [main] ElementInteractionUtils : WebDriver initialized in ElementInteractionUtils: ChromeDriver: chrome on windows (2cae711030aac3edeb32231ff29e1e19)
2024-07-03 23:40:14.686 INFO  11248 --- [main] SynergyConnect : URL:https://test30.synergyapps.in
2024-07-03 23:40:15.844 INFO  11248 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (2cae711030aac3edeb32231ff29e1e19)] -> id: username]
2024-07-03 23:40:16.050 INFO  11248 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (2cae711030aac3edeb32231ff29e1e19)] -> id: password]
2024-07-03 23:40:32.801 INFO  11248 --- [main] ElementInteractionUtils : Clicked on element: Proxy element for: DefaultElementLocator 'By.xpath: //button[text()='Login']'
2024-07-03 23:40:32.920 INFO  11248 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (2cae711030aac3edeb32231ff29e1e19)] -> xpath: //*[@id="app"]/div/div[1]/nav[1]/div[1]/div[1]/a/em]
2024-07-03 23:40:36.395 INFO  11248 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (2cae711030aac3edeb32231ff29e1e19)] -> xpath: //*[@id="productworks"]]
2024-07-03 23:40:36.397 INFO  11248 --- [main] ElementInteractionUtils : Test Passed: verifyLoginisworking
2024-07-03 23:40:36.404 INFO  11248 --- [main] ElementInteractionUtils : Starting Test: pageRedirection
2024-07-03 23:40:36.407 INFO  11248 --- [main] ElementInteractionUtils : WebDriver initialized in ElementInteractionUtils: ChromeDriver: chrome on windows (2cae711030aac3edeb32231ff29e1e19)
2024-07-03 23:40:37.582 ERROR 11248 --- [main] ElementInteractionUtils : Test Failed: pageRedirection
2024-07-03 23:40:37.809 INFO  11248 --- [main] ElementInteractionUtils : Screenshot captured for failed test: pageRedirection
2024-07-03 23:40:37.821 INFO  11248 --- [main] ElementInteractionUtils : Finishing Test Suite: Login Tests
